Ruta;Origen;Destino;Estaciones de Parada
A60;Portal Américas;Calle 76;Portal Américas, Patio Bonito, Biblioteca Tintal, Transversal 86, Banderas, Mandalay, Américas - Av. Boyacá, Marsella, Pradera, Distrito Grafiti, Puente Aranda, Carrera 43, Zona Industrial, CDS - Carrera 32, Ricaurte, Sans Façon - Carrera 22, De La Sabana, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76.
A61;Portal Usme;Calle 72;Portal Usme, Molinos, Socorro, Santa Lucía, Calle 40 Sur, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72.
B10;Portal Américas;Portal Norte;Portal Américas, CDS - Carrera 32, Calle 26, Calle 45, Marly, Calle 72, Calle 100, Calle 146, Portal Norte.
B11;Portal Sur;Portal Norte;Portal Sur, Perdomo, Madelena, Venecia, Sevillana, General Santander, NQS - Calle 38 Sur, NQS - Calle 30 Sur, Sena, Comuneros, Santa Isabel, Ricaurte, Guatoque - Veraguas, Av. Jiménez, Calle 19, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B12;Portal Sur;Portal Norte;Portal Sur, Madelena, G. Santander, NQS - Calle 38 Sur, Comuneros, Ricaurte, Paloquemao, CAD, Calle 72, Calle 76, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B13;Portal Tunal;Portal Norte;Portal Tunal, Olaya, Fucha, Hortúa, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B14;Portal 80;Portal Norte;Portal 80, Granja - Cra 77, Av. 68, Escuela Militar, Polo, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B16;Portal El Dorado;Portal Norte;Portal El Dorado, Modelia, Normandía, Avenida Rojas, El Tiempo - Maloka, Salitre - El Greco, CAN, Gobernación, Quinta Paredes, Corferias, Ciudad Universitaria, Concejo de Bogotá, Centro Memoria, Calle 26, Calle 45, Marly, Calle 72, Calle 100, Calle 127, Portal Norte.
B18;Portal 20 Julio;Portal Norte;Portal 20 de Julio, Av. 1 de Mayo, Ciudad Jardín, San Cristóbal, San Blas, Policarpa, San Bernardo, Bicentenario, San Victorino, Las Nieves, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B23;Portal Américas;Portal Norte;Portal Américas, Banderas, Américas - Av. Boyacá, Ricaurte, Paloquemao, CAD, Universidad Nacional, NQS - Calle 75, La Castellana, Calle 100, Calle 142, Portal Norte.
B26;Portal Américas;Portal Norte;Portal Américas, Banderas, Mandalay, Marsella, Distrito Grafiti, Ricaurte, Calle 26, Marly, Calle 72, Calle 100, Calle 127, Portal Norte.
B27;Portal Usme;Portal Norte;Portal Usme, Molinos, Socorro, Santa Lucía, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B28;Portal Sur;Portal Norte;Portal Sur, Perdomo, Madelena, Venecia, Sevillana, General Santander, NQS - Calle 38 Sur, NQS - Calle 30 Sur, Sena, Comuneros, Santa Isabel, Ricaurte, Paloquemao, CAD, Av. Dorado, Universidad Nacional, Campín - UAN, 7 de Agosto, Movistar Arena, NQS - Calle 75, La Castellana, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B44;Portal Sur;Portal Norte;Portal Sur, Madelena, Venecia, General Santander, NQS - Calle 38 Sur, Comuneros, Ricaurte, Paloquemao, CAD, Universidad Nacional, NQS - Calle 75, La Castellana, Calle 100, Portal Norte.
